id,text,score,x,y,keyword
135,Dairy Queen,2.5,38.678502,-121.303812,Ice Cream American Burgers Fast Food Frozen Yogurt Hot Dogs
136,El Indio Mexican Restaurant,3,32.74212,-117.18019,Mexican
137,Frank Fats,3.5,38.578815,-121.496994,Chinese American Asian Pacific Rim
138,Gunther's Quality Ice Cream,5,38.553398,-121.475998,Cafe Californian Fast Food Ice Cream
139,Marine Room,3.5,32.85237108,-117.260866,French Seafood American Contemporary Continental International
140,McDonald's,2,33.857399,-117.959,American Burgers Fast Food Chicken Sandwiches
141,Nielsen's Restaurant,5,36.2078183,-119.3436419,American
142,Orange Julius,4,34.183164,-118.311625,American Chinese Fast Food Ice Cream Smoothies Traditional
143,Orange Julius,4,34.601558,-118.152218,American Fast Food
144,Rice Bowl,5,36.20461,-119.35129,Chinese Asian Deli
145,Carl's Jr,1,36.807414,-119.884527,American Burgers Fast Food
146,Carl's Jr,4,33.891886,-118.044823,American Burgers Fast Food
147,Carl's Jr,2,33.609142,-114.6055,American Burgers Fast Food
148,Carl's Jr,3,34.520897,-117.330805,American Burgers Fast Food
149,Carl's Jr,4,34.027007,-117.651015,Burgers American Fast Food
150,Carl's Jr,2,37.321654,-121.826734,American Burgers Fast Food
151,Carl's Jr,3.5,34.127564,-118.260095,Burgers American Fast Food
152,Carl's Jr,2.5,34.034561,-118.472762,American Burgers Fast Food
153,Carl's Jr,2,33.902145,-118.3724745,American Burgers Fast Food
154,Carl's Jr,3.5,33.721327,-116.3891412,American Fast Food Burgers
155,Carl's Jr,4,33.787758,-117.815949,Fast Food American Burgers Mexican
156,Carl's Jr,3.5,37.490994,-121.928867,Burgers American Fast Food
157,Carl's Jr,3,33.649159,-117.582582,American Fast Food Burgers
158,Carl's Jr,3.5,37.521613,-121.992035,American Burgers Fast Food
159,Carl's Jr,3,33.888487,-117.868379,Fast Food American Burgers Pizza
160,Carl's Jr,2,32.775745,-117.022184,Burgers American Fast Food
161,Carl's Jr,2,33.371472,-117.2537,American Burgers
162,Carl's Jr,2,33.760488,-117.837395,American Fast Food Burgers
163,Carl's Jr,2.5,34.074106,-118.20717,American Burgers Fast Food
164,Carl's Jr,1,38.743538,-121.171644,Burgers American
165,Carl's Jr,3,32.99546,-117.2585,Burgers American Fast Food
166,Carl's Jr,1,35.365622,-119.04379,American Burgers Fast Food
167,Carl's Jr,3.5,34.171839,-118.431578,Fast Food American Burgers
168,Carl's Jr,2,33.781985,-117.867791,American Fast Food Burgers
169,Carl's Jr,3.5,37.692313,-122.47159,Burgers American Fast Food
170,Carl's Jr,5,37.388163,-120.735999,American Burgers Fast Food
171,Carl's Jr,4,33.55652,-117.176247,American Fast Food Burgers
172,Carl's Jr,5,33.899009,-117.563287,American Burgers Fast Food
173,Carl's Jr,3,37.961556,-121.735776,Burgers American
174,Carl's Jr,1,37.811381,-121.292219,American Burgers Fast Food
175,Carl's Jr,4,34.130647,-118.025445,American Burgers Fast Food Pizza
176,Carl's Jr,3,35.037595,-120.483373,American Fast Food Burgers
177,Carl's Jr,2.5,36.822502,-119.870556,Burgers American Fast Food
178,Carl's Jr,1.5,33.858112,-118.089816,Burgers American Fast Food
179,Carl's Jr,3.5,38.614069,-121.515772,Burgers American Fast Food
180,Carl's Jr,3,33.802994,-118.0114967,American Burgers Fast Food
181,Carl's Jr,5,40.586747,-122.350874,American Burgers Fast Food
182,Carl's Jr,3,33.9972055,-117.87078,Fast Food American
183,Carl's Jr,4,33.975534,-117.478428,American Burgers Fast Food
184,Carl's Jr,2.5,37.560579,-122.011682,American Burgers Fast Food
185,Carl's Jr,2,34.558126,-118.084572,American Burgers Fast Food
186,Carl's Jr,3.5,36.601542,-121.8491,American Burgers Fast Food
187,Carl's Jr,4,33.808848,-117.83784,American Fast Food Burgers
188,Carl's Jr,3,34.138234,-117.371461,Burgers American Fast Food
189,Carl's Jr,2,33.858299,-118.116997,American Burgers Fast Food
190,Carl's Jr,3,36.203984,-121.130301,American Burgers Fast Food
191,Carl's Jr,3,33.91701,-118.13393,American Fast Food Burgers
192,Carl's Jr,3,34.43735422,-118.5638952,Burgers American Fast Food
193,Carl's Jr,5,33.774621,-117.487895,American Burgers Fast Food
194,Carl's Jr,2,34.236958,-118.536083,American Burgers Fast Food
195,Carl's Jr,2,33.700009,-117.740492,American Burgers Fast Food
196,Carl's Jr,3,33.8986594,-118.0066475,American Burgers Fast Food
197,Carl's Jr,2.5,36.845791,-119.790166,American Burgers Fast Food
198,Carl's Jr,2.5,34.197755,-118.86938,American Fast Food Burgers
199,Carl's Jr,3,38.65267,-121.38354,Burgers American Fast Food
200,Carl's Jr,2,34.04786301,-117.847168,American Burgers Fast Food Mexican
201,Carl's Jr,3,38.65747,-120.968999,Burgers American
202,Carl's Jr,3,33.60074,-117.69168,American Burgers Fast Food
203,Carl's Jr,4,33.572537,-117.234654,American Fast Food Burgers
204,Carl's Jr,2.5,33.781703,-117.889469,American Burgers Fast Food
205,Carl's Jr,2.5,33.57961026,-117.6698613,American Burgers Fast Food
206,Carl's Jr,3,34.154651,-118.827873,American Burgers Fast Food
207,Carl's Jr,4,33.5938,-117.72849,Burgers American
208,Carl's Jr,3.5,33.665028,-117.82694,American Burgers Fast Food
209,Carl's Jr,3,36.419159,-121.322327,American Burgers Fast Food
210,Carl's Jr,5,36.837014,-119.772743,American Burgers Fast Food
211,Carl's Jr,3.5,37.953386,-121.955493,Burgers American Fast Food Hot Dogs
212,Carl's Jr,2,36.5455538,-119.4052137,Burgers
213,Carl's Jr,1.5,37.4077754,-121.9640624,American Burgers Fast Food
214,Carl's Jr,1,38.08661,-122.11375,American Burgers Fast Food
215,Carl's Jr,2,37.365792,-121.949683,Burgers American Fast Food
216,Carl's Jr,3,37.68551581,-122.1000157,Burgers American Fast Food
217,Carl's Jr,1.5,33.673272,-117.9217958,American Burgers Fast Food
218,Carl's Jr,4,33.901709,-118.117093,American Burgers Fast Food
219,Carl's Jr,1.5,38.80609,-121.205484,Fast Food American Burgers
220,Clovis Carls Jr / Green Burrito,4,36.809193,-119.700369,Burgers American Fast Food
221,Dickey's Barbeque Pit,3,34.079788,-117.575815,Barbecue Catering
222,S D Chicken Pie Shop,4.5,32.75501011,-117.1354795,American Chicken
223,The Great White Hut,5,34.149918,-118.25537,American
224,Alexs Bar B Q of Shell Beach,3.5,35.156555,-120.669266,Barbecue American
225,Canteen,3,34.089199,-118.333,American Continental Italian Sushi Eclectic International
226,Round Table Pizza,3,38.244749,-122.644694,Pizza American Deli
227,Teresa's Place Restaurant,3.5,38.36519,-120.77482,Italian American Seafood Steak Pizza
228,Boll Weevil,4.5,32.831877,-117.129684,American Burgers
229,China's Alley Restaurant,4,36.203022,-119.09175,Chinese Mexican
230,Cj's Cafe,4,35.119793,-120.58834,American Cafe Coffee Diner Sandwiches
231,Ernie Jr's Taco House,4,34.14399,-118.22606,Mexican Latin American Vegan Vegetarian
232,Hob-Nob Hill,4,32.72913213,-117.1637865,American Diner Traditional
233,Nick's Rockaway,4,37.60986,-122.49698,Seafood American
234,Baskin-Robbins,5,33.889099,-118.114998,American Ice Cream Juices Smoothies
235,Baskin-Robbins,2,37.32019,-120.484116,Ice Cream American
236,Baskin-Robbins,2,38.5821,-121.317001,Ice Cream American
237,Baskin-Robbins,3.5,40.565448,-122.353105,American Ice Cream
238,Baskin-Robbins,5,34.119639,-117.557759,American Ice Cream
239,Baskin-Robbins,3.5,33.637699,-117.864197,American Ice Cream Deli
240,Baskin-Robbins,4.5,38.715264,-121.291114,Ice Cream American Seafood
241,Baskin-Robbins,3,34.1521,-118.361,Ice Cream American
242,Baskin-Robbins,4.5,38.110084,-122.238661,Ice Cream American
243,Baskin-Robbins,1.5,35.318532,-119.027567,Ice Cream American French Mediterranean
244,Lyons English Grille,4,33.801592,-116.545091,British Irish American English European
245,Nifty Drive-In,4,37.73795,-120.93735,American Burgers Fast Food Sandwiches
246,Togo's,4,38.782807,-121.2664176,Sandwiches American Subs Wraps
247,Vince's Spaghetti,4.5,34.105631,-117.62539,Italian
248,Vince's Spaghetti Express,4,34.0633,-117.672714,Italian Mediterranean Pasta
249,Andiamo Pizzeria,3.5,33.917154,-118.41582,Pizza Italian Sandwiches Pasta
250,Anthony's Fish Grotto - Harbor Drive,3.5,32.71948,-117.17312,Seafood American
251,Arroyo's Cafe,4,37.985336,-121.336768,Mexican Cafe
252,Baja Fresh,4.5,32.810799,-117.116997,Mexican Fast Food Southwestern
253,Baskin and Robbins 31 Flavors,3.5,33.7879147,-117.8087168,American Ice Cream
254,Baskin-Robbins,4.5,37.95619,-121.9670391,Ice Cream American
255,Baskin-Robbins,2.5,32.610854,-117.068653,Ice Cream American Bakery
256,Baskin-Robbins,2,33.792208,-118.332914,American Ice Cream
257,Baskin-Robbins,2,33.910301,-118.326449,American Ice Cream Diner
258,Baskin-Robbins,4,34.032018,-117.68956,Ice Cream American Bakery Mediterranean
259,Baskin-Robbins,4,37.966126,-121.781034,American Ice Cream
260,Baskin-Robbins,2.5,37.3088,-121.900002,Ice Cream American Bakery Chicken Pan Asian
261,Baskin-Robbins,4,34.243033,-118.467379,Ice Cream American
262,Baskin-Robbins,4,37.2205846,-121.8620685,Ice Cream American Latin American
263,Baskin-Robbins,2.5,33.644637,-117.919377,American Fast Food Hot Dogs Ice Cream
264,Baskin-Robbins,4.5,37.013481,-121.584788,Ice Cream American French Mediterranean
265,Baskin-Robbins,2.5,34.272186,-119.257562,Ice Cream American Bakery Mediterranean
266,Baskin-Robbins,3,33.696633,-117.79759,American Ice Cream
267,Baskin-Robbins,4,32.743712,-116.971483,American Ice Cream
268,Baskin-Robbins,1,34.262148,-119.211893,Ice Cream American French Mediterranean
269,Baskin-Robbins,4,34.013437,-118.416412,Ice Cream American
270,Baskin-Robbins,4,37.379522,-122.1172,American Ice Cream French Mexican
271,Baskin-Robbins,2.5,37.60411,-122.395956,Ice Cream American Hawaiian Steak
272,Baskin-Robbins,3,37.705472,-121.934655,American Ice Cream
273,Baskin-Robbins,2.5,34.043006,-117.847909,Ice Cream American Chicken Juices Smoothies
274,Baskin-Robbins,1,33.6806965,-118.0036975,Fast Food Ice Cream Vegetarian
275,Baskin-Robbins,2,33.047528,-117.283222,Ice Cream American French Mexican
276,Baskin-Robbins,2,33.822488,-118.333178,Ice Cream American Bakery Chicken Pan Asian
277,Baskin-Robbins,5,37.9894211,-121.3207319,American Ice Cream
278,Baskin-Robbins,3,35.392106,-118.96281,Ice Cream American
279,Baskin-Robbins,4,36.576421,-119.626511,American Ice Cream
280,Baskin-Robbins,3,33.636762,-117.590896,American Ice Cream
281,Baskin-Robbins,5,33.74246299,-117.8182861,American Ice Cream
282,Baskin-Robbins,4,37.697515,-121.874603,American Ice Cream
283,Baskin-Robbins,4,37.274601,-121.848999,Ice Cream American
284,Baskin-Robbins,3,34.083218,-118.34574,American Ice Cream Bakery
285,Baskin-Robbins,2.5,33.975688,-117.335897,American Ice Cream Bakery Diner Irish
286,Baskin-Robbins,3.5,33.85911226,-117.9256,Ice Cream American
287,Baskin-Robbins,5,38.924684,-121.056028,Ice Cream American Seafood
288,Baskin-Robbins,3.5,37.26686496,-121.8324888,Ice Cream American French Mediterranean
289,Baskin-Robbins,4,34.074814,-118.022407,American Ice Cream Diner
290,Baskin-Robbins,4.5,33.8862,-118.160004,American Ice Cream Bakery
291,Baskin-Robbins,4,32.937138,-117.099603,Ice Cream American French Mediterranean
292,Baskin-Robbins,3,37.675666,-120.995179,American Ice Cream
293,Baskin-Robbins,4,34.126849,-118.26398,Ice Cream Deli Juices Mexican Sandwiches Smoothies
294,Baskin-Robbins,3,38.941992,-121.094588,Ice Cream American Latin American
295,Baskin-Robbins,3.5,34.686733,-118.14791,American Ice Cream
296,Baskin-Robbins,4,37.779868,-121.97158,Ice Cream American Chinese
297,Baskin-Robbins,4.5,32.86793845,-117.215066,Ice Cream American
298,Baskin-Robbins,5,38.59569,-121.362598,Ice Cream American
299,Baskin-Robbins,4,34.06039,-118.446209,Ice Cream American French Mexican
300,Baskin-Robbins,5,33.759887,-118.010524,American Ice Cream Barbecue Chicken Fast Food Hawaiian Seafood Steak
301,Baskin-Robbins,4,34.103559,-118.259162,Ice Cream American Bakery
302,Baskin-Robbins,5,38.33534,-121.953648,Ice Cream American
303,Baskin-Robbins,5,35.124922,-118.469474,American Ice Cream Deli
304,Baskin-Robbins,4,37.002899,-121.551461,Ice Cream
305,Baskin-Robbins,4.5,37.3372079,-122.040276,Ice Cream American Bakery
306,Baskin-Robbins,4.5,32.823043,-117.101059,Ice Cream American Bakery Mediterranean
307,Baskin-Robbins,3.5,37.331527,-121.912386,Ice Cream
308,Baskin-Robbins,4.5,36.699865,-121.618426,Ice Cream American Seafood
309,Baskin-Robbins,4.5,38.556695,-121.3585049,Ice Cream American Seafood
310,Baskin-Robbins,5,33.65838,-118.001186,American Ice Cream
311,California Del Sur Ice Cream,5,36.677281,-121.638254,American Ice Cream
312,Camacho's Place,5,32.72303,-115.60263,Mexican
313,Chick-Fil-A,4,33.824444,-118.0853784,Fast Food American Salad Sandwiches Soup Wraps
314,Dorn's Original Breakers Cafe,3,35.36591,-120.8523,Seafood American
315,Grand Star Restaurant,4.5,34.0650125,-118.2375035,Chinese Fast Food
316,Habana,2.5,32.762289,-117.029966,Cuban Continental Italian Seafood
317,Hong Kong Restaurant,3.5,36.33105,-119.28886,Chinese Asian Burgers
318,Hotel Bel-Air,4.5,34.086562,-118.445497,French Californian Contemporary American
319,Jack's Family,4,37.364255,-118.3954579,American
320,Jakes of Saratoga,4,37.292358,-122.032366,Pizza American
321,Jj and F Food Store,4.5,37.42593835,-122.147989,Deli
322,La Paloma Restaurant,3,34.10893,-117.75166,Mexican American Asian Latin American Middle Eastern
323,Lucci Gourmet Italian American Deli-Bakery,4.5,33.672306,-117.973304,Italian Bakery
324,Original Tommy's,4,34.186889,-118.451181,Bakery Burgers Fast Food Thai
325,Original Tommy's,4,34.14902009,-118.12138,Burgers Fast Food
326,Original Tommy's,4.5,33.716801,-117.970001,Burgers Fast Food Sandwiches Vietnamese
327,Original Tommy's,4,34.139478,-118.2044578,Burgers Fast Food Healthy Pan Asian Thai
328,Original Tommy's,3.5,34.101601,-118.317476,Burgers American Fast Food
329,Original Tommy's,4.5,33.887402,-118.082001,Fast Food American Burgers Deli
330,Original Tommy's,4.5,34.01231,-118.4830159,American Burgers Fast Food
331,Pecos Bill's Bar-B-Q,4,34.1595,-118.297997,Barbecue Burgers Chicken Ribs Wings
332,Robbins Baskin,3.5,37.3881,-122.088997,Ice Cream
333,Royal Spices Thai Cuisine,3.5,32.752947,-117.208182,Thai Asian Diner
334,Tarantino's Restaurant On Fisherman's Wharf,3.5,37.808216,-122.415886,Seafood Italian American
335,Tony's Jacal,4,32.988705,-117.25851,Mexican Seafood Southwestern
336,Villa Corona,4.5,38.335761,-121.968749,Deli Mexican
337,Backstage,5,34.016308,-118.4001936,American Burgers Pub Food Californian Contemporary Grill Sandwiches
338,Crest Liquors,4.5,32.788467,-117.2374,Deli
339,Langer's Deli,4.5,34.0563295,-42.110338,Deli Diner American Sandwiches Coffee Fast Food Kosher
340,Lupe's Mexican Restaurant,4,34.17771,-118.85127,Mexican
341,Panda Express,4,32.77977,-117.0101184,Chinese Fast Food Asian Deli Indian Italian
342,Ramona's Mexican Delicatessen,4,33.88291,-118.326412,Deli Mexican Sandwiches
343,San Rafael Joe's,4,37.972965,-122.52634,Italian
344,Shadowbrook Restaurant Capitola,4.5,36.97393,-121.95542,American Seafood Continental
345,Sinaloa,2.5,35.37717,-119.01188,Mexican
346,Sunnyside Cafe,4,37.89089,-122.2875505,American Cafe
347,The Apple Pan,4,34.040643,-118.427621,American Burgers Diner Fast Food Sandwiches Cafe Coffee Healthy Hot Dogs
348,Tommy's Joynt,4,37.785703,-122.421492,American Deli Traditional Barbecue German Polish
349,Tonga Restaurant and Hurricane Bar,3.5,37.7923,-122.41089,American Asian Hawaiian Traditional
350,Yorkshire Grill,4,34.048872,-118.255632,Burgers Deli Sandwiches American Catering Healthy Salad Soup Wraps
351,Bancheros Italian Dinners,4,37.686863,-122.102325,Italian Fast Food Mediterranean Pasta
352,Billy's Deli and Cafe,4.5,33.858224,-118.3679008,Deli Sandwiches American Burgers Coffee French
353,Billy's Delicatessen Restaurant,4,34.148487,-118.2562477,Deli American Sandwiches Bakery Burgers Cuban
354,Cassell's Hamburgers,3.5,34.06346976,-118.29361,Burgers
355,Classic Sichuan Restaurant,4,37.59979,-122.3884249,Asian Chinese Seafood
356,Coco's Bakery,2,33.872551,-118.24767,American Bakery Healthy Pizza Salad Sandwiches Soup Southern Wings Wraps
357,Coco's Bakery,2,33.56567,-117.71547,American Bakery Diner Salad Sandwiches Soup Wings Wraps
358,Coco's Bakery,3,33.78827,-117.9148,American Diner
359,Coco's Bakery,3,37.961885,-121.99477,Bakery American Salad Sandwiches Soup Wings Wraps
